timestamp;strompreis_EUR_MWh;waermebedarf_MWth;grid_co2_kg_MWh;WRG1_Q_cap;WRG1_T_K;WRG2_Q_cap;WRG2_T_K;WRG3_Q_cap;WRG3_T_K;WRG4_Q_cap;WRG4_T_K;P_buy_MW;P_sell_MW;Q_dump_MWth;HP1_Q_th_MW;HP1_Pel_MW;HP1_on;HP2_Q_th_MW;HP2_Pel_MW;HP2_on;HP3_Q_th_MW;HP3_Pel_MW;HP3_on;TES_SOC_MWh;TES_charge_MW;TES_discharge_MW;HKW_Q_th_MW;HKW_fuel_MW;HKW_Pel_MW;GTOST_Q_th_MW;GTOST_fuel_MW;GTOST_Pel_MW;BMHKW_Q_th_MW;BMHKW_fuel_MW;BMHKW_Pel_MW;HWS_Q_th_MW;HWS_fuel_MW;HWW_Q_th_MW;HWW_fuel_MW;AVA_Q_th_MW;AVA_fuel_MW;P2H_Q_th_MW;P2H_Pel_MW
2023-01-01T16:00:00;36,54;80,2;179,505459590122;0;307,65;0;312,15;0;308,45;0,1323821;285,075;0;0;0;0;0;0;0;0;0;0;0;0;0;30;27,075000000000003;0;0;0;0;0;0;0;0;0;0;0;0;0;23,125;23,125;0;0
2023-01-01T17:00:00;46,03;86,7;206,925873559283;0;307,54999999999995;0;312,15;0;308,45;0,12229648;285,015;0;0;0;0;0;0;0;0;0;0;0;0;0;30;27,075000000000003;0;0;0;0;0;0;0;0;0;0;0;0;0;29,625;29,625;0;0
2023-01-01T18:00:00;55,57;90,8;212,01363892734602;0;307,45;0;312,04999999999995;0;308,54999999999995;0,1005227;284,95;0;0;0;0;0;0;0;0;0;0;0;0;0;30;27,075000000000003;0;0;0;0;0;0;0;0;0;0;0;0;0;33,724999999999994;33,724999999999994;0;0
2023-01-01T19:00:00;54,95;92,5;178,1971338565;0;304,65;0;307,04999999999995;0;305,45;0,12201262800000001;285,015;0;0;0;0;0;0;0;0;0;0;0;0;0;30;27,075000000000003;0;0;0;0;0;0;0;0;0;0;0;0;0;35,425;35,425;0;0
2023-01-01T20:00:00;49,23;92;129,77527630639;0;304,34999999999997;0;306,95;0;305,15;0,1007025;284,95;0;0;0;0;0;0;0;0;0;0;0;0;0;30;27,075000000000003;0;0;0;0;0;0;0;0;0;0;0;0;0;34,925;34,925;0;0
2023-01-01T21:00:00;44,99;91,5;134,05886425595102;0;304,65;0;307,65;0;305,54999999999995;0,10833095;285,0125;0;0;0;0;0;0;0;0;0;0;0;0;0;30;27,075000000000003;0;0;0;0;0;0;0;0;0;0;0;0;0;34,425;34,425;0;0
2023-01-01T22:00:00;45,96;90,1;130,446348416527;0;305,25;0;308,65;0;306,25;0,118243875;285,0125;0;0;0;0;0;0;0;0;0;0;0;0;0;30;27,075000000000003;0;0;0;0;0;0;0;0;0;0;0;0;0;33,02499999999999;33,02499999999999;0;0
2023-01-01T23:00:00;35;83,8;120,287097851137;0;305,34999999999997;0;308,84999999999997;0;306,45;0,11798650000000001;285,0125;0;0;0;0;0;0;0;0;0;0;0;0;0;30;27,075000000000003;0;0;0;0;0;0;0;0;0;0;0;0;0;26,724999999999994;26,724999999999994;0;0
2023-01-02T00:00:00;57,91;82,7;122,984264830657;0;304,15;0;306,34999999999997;0;304,84999999999997;0,1032545;284,95;0;0;0;0;0;0;0;0;0;0;0;0;0;30;27,075000000000003;0;0;0;0;0;0;0;0;0;0;0;0;0;25,625;25,625;0;0
2023-01-02T01:00:00;51,67;85,8;127,159356273504;0;303,54999999999995;0;305,54999999999995;0;304,15;0,13588472;285,0825;0;0;0;0;0;0;0;0;0;0;0;0;0;30;27,075000000000003;0;0;0;0;0;0;0;0;0;0;0;0;0;28,724999999999994;28,724999999999994;0;0
2023-01-02T02:00:00;52,93;89;120,658823107628;0;303,54999999999995;0;305,54999999999995;0;304,15;0,10665512699999999;284,96;0;0;0;0;0;0;0;0;0;0;0;0;0;30;27,075000000000003;0;0;0;0;0;0;0;0;0;0;0;0;0;31,924999999999997;31,924999999999997;0;0
2023-01-02T03:00:00;44,09;88,3;122,17456957149001;0;303,45;0;305,45;0;304,04999999999995;0,10434492899999999;284,96;0;0;0;0;0;0;0;0;0;0;0;0;0;30;27,075000000000003;0;0;0;0;0;0;0;0;0;0;0;0;0;31,224999999999994;31,224999999999994;0;0
2023-01-02T04:00:00;50,08;95,3;125,632939851442;0;303,34999999999997;0;305,25;0;303,95;0,102991644;284,96;0;0;0;0;0;0;0;0;0;0;0;0;1,8159710707912844;30;25,34982748274828;0;0;0;0;0;0;0;0;0;0;0;0;0;39,950172517251715;39,950172517251715;0;0
2023-01-02T05:00:00;69,72;103,8;138,109007006969;0;303,34999999999997;0;305,25;0;303,95;0,1252468819999999;285,03;0;0;0;0;0;0;0;0;0;0;0;0;0;30;28,8;0;0;0;0;0;0;0;0;0;0;0;0;0;45;45;0;0
2023-01-02T06:00:00;105,08;108,2;150,083908938418;0;304,75;0;308,15;0;305,65;0,1088006919999999;284,96999999999997;0;5,474226804123711;0;0;0;0;0;0;0;0;0;0;0;30;27,075000000000003;0;0;0;0;0;0;15;30,927835051546396;5,474226804123711;0;0;0;0;36,125;36,125;0;0
2023-01-02T07:00:00;140,64;107,2;159,798829453859;0;307,54999999999995;0;312,04999999999995;0;308,15;0,1275338219999999;285,09999999999997;0;5,474226804123711;0;0;0;0;0;0;0;0;0;0;0;30;27,075000000000003;0;0;0;0;0;0;15;30,927835051546396;5,474226804123711;0;0;0;0;35,125;35,125;0;0
2023-01-02T08:00:00;145,98;108,8;173,392128352252;0;306,54999999999995;0;309,95;0;307,15;0,1259718819999999;285,04249999999996;0;5,474226804123711;0;0;0;0;0;0;0;0;0;0;0;30;27,075000000000003;0;0;0;0;0;0;15;30,927835051546396;5,474226804123711;0;0;0;0;36,724999999999994;36,724999999999994;0;0
2023-01-02T09:00:00;147,05;106,8;193,726858766257;0;303,95;0;306,15;0;304,34999999999997;0,09601969599999988;284,97749999999996;0;5,474226804123711;0;0;0;0;0;0;0;0;0;0;0;30;27,075000000000003;0;0;0;0;0;0;15;30,927835051546396;5,474226804123711;0;0;0;0;34,724999999999994;34,724999999999994;0;0
2023-01-02T10:00:00;145,61;96,4;198,083823060577;0;305,54999999999995;0;307,95;0;305,54999999999995;0,1018031949999999;284,97999999999996;0;5,474226804123711;0;0;0;0;0;0;0;0;0;0;0;30;27,075000000000003;0;0;0;0;0;0;15;30,927835051546396;5,474226804123711;0;0;0;0;24,325000000000003;24,325000000000003;0;0
2023-01-02T11:00:00;143,35;91,2;190,060714920085;0;305,84999999999997;0;307,54999999999995;0;305,45;0,13212779899999982;285,10999999999996;0;5,474226804123711;0;0;0;0;0;0;0;0;0;0;0;30;27,075000000000003;0;0;0;0;0;0;15;30,927835051546396;5,474226804123711;0;0;0;0;19,125;19,125;0;0
2023-01-02T12:00:00;144,38;81,7;184,555233933712;0;306,15;0;307,65;0;305,65;0,13155287399999988;285,17749999999995;0;5,474226804123711;0;0;0;0;0;0;0;0;0;0;0;30;27,075000000000003;0;0;0;0;0;0;15;30,927835051546396;5,474226804123711;0;0;0;0;9,625;9,625;0;0
2023-01-02T13:00:00;143,76;77,3;185,77508797707102;0;306,84999999999997;0;309,25;0;306,95;0,1380330689999999;285,23249999999996;0;5,474226804123711;0;0;0;0;0;0;0;0;0;0;0;30;27,075000000000003;0;0;0;0;0;0;15;30,927835051546396;5,474226804123711;0;0;0;0;5,224999999999994;5,224999999999994;0;0
